title,item_id,rate,content,sentiment
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,4,"Es bueno , rápido, cámara buena.
Batería dura muchísimo lo compre hace 1 mes lo cargue 5 veces.",Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,4,Es un telefono que en eeuu sale 140 dolares aca lo pagamos 290. Que te puedo decir lo compre porque no me quedaba otra.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,Exelente para el uso que le doy!.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,4,"Muy bueno, no tiene lo malo es que no tiene nfc y no trae funda ni auriculares pero para ser motorola es un buen telefono.",Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,4,Prestaciones acordes al precio. Buena calidad en una gama media.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,"En relacion precio calidad, muy bueno llevo solo un dia de uso y por el memento muy satisfecha.",Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,4,"Para ser un tel de gama media, no está mal. Lindas terminaciones y buen funcionamiento.",Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,Viene en caja cellada. Por ahora funciona de 10.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,Muy buen celular calidad precio.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,Muy lindo.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,100%recomendable.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,Muy buen producto. Súper recomendable.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,Excelente equipo en relación calidad y costo.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,Es muy buen producto tiene buen precio y buena calidad totalmente conforme.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,4,Es mí primer moto g la batería no dura mucho.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,"Muy buen funcionamiento, excelente calidad.",Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,"Anda bien, lo que esperaba para un celular de 128 gb.",Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,"Bueno, fotos maso pero dentro del precio es bastante recomendable.",Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,Excelente.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,"Excelente equipo, anda muy bien, lejos los moto g los mejores.",Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,Bueno!!.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,Muy buen equipo en relación precio calidad. Muy conforme.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,Exelente.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,4,Exelente.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,"Es un producto muy bueno, muy recomendable.",Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,Muy bueno.,Positive
Moto G14 128 Gb Gris 4 Gb Ram,MLA1628173390,5,Excelente producto.,Positive
